filename	xmlid	au-name	title	au-birth	au-death	au-gender	au-ids	copytext-yr	firsted-yr	title-ids	sizeCat	canonicity	time-slot	numwords	language
FRA02601_Malot	FRA02601	Malot, Hector	Romain Kalbris	1830	1907	M	viaf:49228546	NA	1869	viaf:312349317	medium	high	T2	70236	fra
FRA02202_Gouraud	FRA02202	Gouraud, Julie	Le petit colporteur	1810	1891	M	viaf:31987653	NA	1867	viaf:314022921	short	low	T2	43343	fra
FRA00801_Dash	FRA00801	Stern, Daniel	Hervé	1805	1876	F	viaf:186930001	NA	1843	NA	short	low	T1	15058	fra
FRA04202_Rolland	FRA04202	Rolland, Romain	La nouvelle journée	1866	1944	M	viaf:71397100	NA	1912	viaf:312469774	medium	high	T4	59882	fra
FRA00101_Adam	FRA00101	Juliette Adam	Mon Village	1836	1936	F	viaf:64000638	NA	1868	NA	short	low	T2	21777	fra
FRA02502_Loti	FRA02502	Loti, Pierre	Ramuntcho	1850	1923	M	viaf:89440078	NA	1897	viaf:185706732	medium	high	T3	57948	fra
FRA01202_Feval	FRA01202	Féval, Paul Henri Corentin	Les Errants de nuit	1816	1887	M	viaf:17222447	NA	1857	viaf:unavailable	long	low	T1	103086	fra
FRA01301_Flaubert	FRA01301	Flaubert, Gustave	L'Éducation sentimentale	1821	1880	M	viaf:9846192	NA	1869	viaf:180462896	long	high	T2	149810	fra
FRA00902_Daudet	FRA00902	Daudet, Alphonse	Port-Tarascon : Dernières aventures de l'illustre Tartarin	1840	1897	M	viaf:4928621	NA	1890	viaf:179981155	short	low	T3	46932	fra
FRA02001_Gilbert	FRA02001	Gilbert, Jehan	Vers Le Pôle En Aéroplane	1880	1940	M	NA	NA	1912	NA	short	unspecified	T2	34567	fr
FRA03302_Rattazzi	FRA03302	Rattazzi, Marie	Le piège aux maris	1831	1902	F	viaf:30341384	NA	1865	viaf:missing	medium	low	T2	53880	fra
FRA04101_Erckmann	FRA04101	Erckmann, Émile	Une campagne en Kabylie : Récit d'un chasseur d'Afrique	1822	1899	M	viaf:31995972	NA	1873	viaf:317259748	short	high	T2	23489	fra
FRA04201_Rolland	FRA04201	Rolland, Romain	L'aube	1866	1944	M	viaf:71397100	NA	1904	viaf:312469768	short	low	T4	41108	fra
